originregion_id,originregion_name,destinationregion_id,destinationregion_name,origin_iso,origin_name,destination_iso,destination_name,regionflow_2013,regionflow_2014,countryflow_2013,countryflow_2014
1,America,1,America,HTI,Haiti,HND,Honduras,0,0,0,0
1,America,1,America,HTI,Haiti,HTI,Haiti,0,0,0,0
1,America,1,America,HTI,Haiti,MEX,Mexico,0,0,0,0
1,America,1,America,HTI,Haiti,PAN,Panama,0,0,0,0
1,America,1,America,HTI,Haiti,PER,Peru,0,0,0,0
1,America,1,America,HTI,Haiti,SLV,El Salvador,0,0,0,0
1,America,1,America,HTI,Haiti,USA,United States,0,0,0,0
1,America,1,America,HTI,Haiti,VCT,Saint Vincent & Grenadines,0,0,0,0
1,America,1,America,HTI,Haiti,VEN,Venezuela,0,0,0,0
1,America,1,America,MEX,Mexico,BRA,Brazil,0,0,0,0
1,America,1,America,MEX,Mexico,CAN,Canada,517,250,517,250
1,America,1,America,MEX,Mexico,COL,Colombia,0,0,0,0
1,America,1,America,MEX,Mexico,CRI,Costa Rica,0,0,0,0
1,America,1,America,MEX,Mexico,CUB,Cuba,0,0,0,0
1,America,1,America,MEX,Mexico,ECU,Ecuador,0,0,0,0
1,America,1,America,MEX,Mexico,GTM,Guatemala,0,0,0,0
1,America,1,America,MEX,Mexico,HND,Honduras,0,0,0,0
1,America,1,America,MEX,Mexico,HTI,Haiti,0,0,0,0
1,America,1,America,MEX,Mexico,MEX,Mexico,0,0,0,0
1,America,1,America,MEX,Mexico,PAN,Panama,0,0,0,0
1,America,1,America,MEX,Mexico,PER,Peru,0,0,0,0
1,America,1,America,MEX,Mexico,SLV,El Salvador,0,0,0,0
1,America,1,America,MEX,Mexico,USA,United States,0,1012,0,1012
1,America,1,America,MEX,Mexico,VCT,Saint Vincent & Grenadines,0,0,0,0
1,America,1,America,MEX,Mexico,VEN,Venezuela,0,0,0,0
1,America,1,America,PAN,Panama,BRA,Brazil,0,0,0,0
1,America,1,America,PAN,Panama,CAN,Canada,0,0,0,0
1,America,1,America,PAN,Panama,COL,Colombia,0,0,0,0
1,America,1,America,PAN,Panama,CRI,Costa Rica,0,0,0,0
1,America,1,America,PAN,Panama,CUB,Cuba,0,2,0,2
1,America,1,America,PAN,Panama,ECU,Ecuador,0,0,0,0
1,America,1,America,PAN,Panama,GTM,Guatemala,0,0,0,0
1,America,1,America,PAN,Panama,HND,Honduras,0,0,0,0
1,America,1,America,PAN,Panama,HTI,Haiti,0,0,0,0
1,America,1,America,PAN,Panama,MEX,Mexico,0,0,0,0
1,America,1,America,PAN,Panama,PAN,Panama,0,0,0,0
1,America,1,America,PAN,Panama,PER,Peru,0,0,0,0
1,America,1,America,PAN,Panama,SLV,El Salvador,0,0,0,0
1,America,1,America,PAN,Panama,USA,United States,0,0,0,0
1,America,1,America,PAN,Panama,VCT,Saint Vincent & Grenadines,0,0,0,0
1,America,1,America,PAN,Panama,VEN,Venezuela,0,0,0,0
1,America,1,America,PER,Peru,BRA,Brazil,0,0,0,0
1,America,1,America,PER,Peru,CAN,Canada,0,0,0,0
1,America,1,America,PER,Peru,COL,Colombia,0,0,0,0
1,America,1,America,PER,Peru,CRI,Costa Rica,0,0,0,0
1,America,1,America,PER,Peru,CUB,Cuba,0,0,0,0
1,America,1,America,PER,Peru,ECU,Ecuador,0,0,0,0
1,America,1,America,PER,Peru,GTM,Guatemala,0,0,0,0
1,America,1,America,PER,Peru,HND,Honduras,0,0,0,0
1,America,1,America,PER,Peru,HTI,Haiti,0,0,0,0
1,America,1,America,PER,Peru,MEX,Mexico,0,0,0,0
1,America,1,America,PER,Peru,PAN,Panama,0,0,0,0
1,America,1,America,PER,Peru,PER,Peru,0,0,0,0
1,America,1,America,PER,Peru,SLV,El Salvador,0,0,0,0
1,America,1,America,PER,Peru,USA,United States,0,0,0,0
1,America,1,America,PER,Peru,VCT,Saint Vincent & Grenadines,0,0,0,0
1,America,1,America,PER,Peru,VEN,Venezuela,0,0,0,0
1,America,1,America,SLV,El Salvador,BRA,Brazil,0,0,0,0
1,America,1,America,SLV,El Salvador,CAN,Canada,0,0,0,0
1,America,1,America,SLV,El Salvador,COL,Colombia,0,0,0,0
1,America,1,America,SLV,El Salvador,CRI,Costa Rica,0,0,0,0
1,America,1,America,SLV,El Salvador,CUB,Cuba,0,0,0,0
1,America,1,America,SLV,El Salvador,ECU,Ecuador,0,0,0,0
1,America,1,America,SLV,El Salvador,GTM,Guatemala,0,0,0,0
1,America,1,America,SLV,El Salvador,HND,Honduras,0,0,0,0
